1.wav,"car high"
11.wav,"car on the high side"
12.wav,"high side"
13.wav,"car high"
14.wav,"car high"
15.wav,"car high"
16.wav,"car high"
17.wav,"car high"
18.wav,"car high"
19.wav,"car high"
2.wav,"car high"
20.wav,"car outside"
21.wav,"car outside"
22.wav,"car outside"
23.wav,"outside"
24.wav,"outside"
25.wav,"car outside"
26.wav,"car outside"
27.wav,"car outside"
28.wav,"car outside"
29.wav,"you got a car on your outside"
3.wav,"car high"
30.wav,"there's a car outside"
31.wav,"there's a car outside"
32.wav,"outside"
33.wav,"car outside"
34.wav,"you got a car outside"
35.wav,"car outside"
36.wav,"car outside"
4.wav,"high side"
5.wav,"you got a car on the high side"
6.wav,"car high"
7.wav,"car high"
8.wav,"car high"
9.wav,"on the high side"
