1.wav,"clear all around"
10.wav,"clear left and right"
11.wav,"clear on the left and right"
12.wav,"clear on the left and right"
13.wav,"clear on your right and left"
14.wav,"clear right, clear left"
15.wav,"clear left and right"
16.wav,"clear right and left"
17.wav,"clear right and left"
18.wav,"clear left and right"
19.wav,"clear all around"
2.wav,"clear all around"
20.wav,"clear left and right"
3.wav,"clear all around"
4.wav,"you're clear all around"
5.wav,"clear all around"
6.wav,"you're clear all around"
7.wav,"all around is clear"
8.wav,"you're clear all around"
9.wav,"no more cars around"
